game_pk,innings_pitched,hits,runs,earned_runs,walks,strikeouts,home_runs,hit_by_pitch,wild_pitches,balks,game_date,game_number,year,gtm,outs,cumulative_outs,cumulative_innings_pitched,cumulative_hits,cumulative_runs,cumulative_earned_runs,cumulative_walks,cumulative_strikeouts,cumulative_home_runs,cumulative_era,era_cum,h_cum,hr_cum,er_cum,so_cum
823974,9.0,6,2,2,0,8,1,0,0,0,2026-03-26,1,2026,1,27,27,9.0,6,2,2,0,8,1,2.0,2.0,6,1,2,8
823971,9.0,8,4,4,4,12,1,0,0,0,2026-03-27,2,2026,2,27,54,18.0,14,6,6,4,20,2,3.0,3.0,14,2,6,20
823973,9.0,5,2,2,1,7,0,0,0,0,2026-03-28,3,2026,3,27,81,27.0,19,8,8,5,27,2,2.67,2.67,19,2,8,27
823972,9.0,9,4,4,3,8,0,0,0,0,2026-03-30,4,2026,4,27,108,36.0,28,12,12,8,35,2,3.0,3.0,28,2,12,35
823969,9.0,2,1,1,5,10,0,2,1,0,2026-03-31,5,2026,5,27,135,45.0,30,13,13,13,45,2,2.6,2.6,30,2,13,45
823970,9.0,6,4,4,3,5,2,1,0,0,2026-04-01,6,2026,6,27,162,54.0,36,17,17,16,50,4,2.83,2.83,36,4,17,50
822758,9.0,11,6,6,5,5,1,0,2,0,2026-04-03,7,2026,7,27,189,63.0,47,23,23,21,55,5,3.29,3.29,47,5,23,55
822757,9.0,8,5,5,2,11,1,1,0,0,2026-04-04,8,2026,8,27,216,72.0,55,28,28,23,66,6,3.5,3.5,55,6,28,66
822756,9.0,7,6,6,5,8,2,0,0,0,2026-04-05,9,2026,9,27,243,81.0,62,34,34,28,74,8,3.78,3.78,62,8,34,74
822832,9.0,5,2,2,5,6,0,1,0,0,2026-04-06,10,2026,10,27,270,90.0,67,36,36,33,80,8,3.6,3.6,67,8,36,80
822831,9.0,6,1,1,3,10,0,0,0,0,2026-04-07,11,2026,11,27,297,99.0,73,37,37,36,90,8,3.36,3.36,73,8,37,90
822833,8.0,8,4,3,4,3,0,0,0,0,2026-04-08,12,2026,12,24,321,107.0,81,41,40,40,93,8,3.36,3.36,81,8,40,93
823968,9.0,9,7,7,3,14,3,0,0,0,2026-04-10,13,2026,13,27,348,116.0,90,48,47,43,107,11,3.65,3.65,90,11,47,107
823967,9.0,4,3,3,2,11,2,0,0,0,2026-04-11,14,2026,14,27,375,125.0,94,51,50,45,118,13,3.6,3.6,94,13,50,118
823966,9.0,10,5,4,10,11,1,0,2,0,2026-04-12,15,2026,15,27,402,134.0,104,56,54,55,129,14,3.63,3.63,104,14,54,129
