player,role,position,era,whip,k9,bb9,kbb,ip,ip_rounded,gs,gp,fetched
Yoshinobu Yamamoto,SP,P,2.61,0.90,8.60,2.08,4.14,151.2,151,23,23,2026-08-26
Justin Wrobleski,SP,P,3.56,1.10,7.12,1.99,3.57,126.1,126,20,21,2026-08-26
Roki Sasaki,SP,P,4.42,1.30,8.84,3.57,2.48,116.0,116,22,22,2026-08-26
Emmet Sheehan,SP,P,5.29,1.29,10.20,2.83,3.60,95.1,95,20,20,2026-08-26
Shohei Ohtani,SP,TWP,1.79,0.95,9.98,2.73,3.65,85.2,85,14,14,2026-08-26
Eric Lauer,SP,P,3.76,1.12,5.78,2.15,2.69,67.0,67,11,12,2026-08-26
Jack Dreyer,SP,P,2.87,1.03,11.14,3.04,3.67,53.1,53,1,56,2026-08-26
Tanner Scott,RP,P,2.36,0.92,10.80,1.86,5.82,53.1,53,0,57,2026-08-26
Edgardo Henriquez,SP,P,2.91,1.01,9.91,3.93,2.52,52.2,52,1,52,2026-08-26
Alex Vesia,RP,P,3.11,1.21,11.46,6.02,1.90,46.1,46,0,59,2026-08-26
