player,postion,plateAppearances,totalBases,leftOnBase,extraBaseHits,pitchesPerPlateAppearance,bbper,soper,hrper,flyOuts,totalSwings,swingAndMisses,ballsInPlay,popOuts,lineOuts,groundOuts,flyHits,popHits,lineHits,groundHits,gamesPlayed,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,avg,atBats,obp,slg,ops,stolenBases,groundIntoDoublePlay,rbi,fetched
Freddie Freeman,1B,600,238,231,49,4.122,.108,.170,.027,85,1240,278,429,13,34,141,29,2,85,40,140,132,72,32,1,16,102,65,3,156,.297,525,.375,.453,.828,7,18,66,2026-09-12
Shohei Ohtani,DH,596,262,169,59,3.810,.134,.242,.050,77,1058,331,363,12,22,113,33,0,65,41,134,111,89,25,4,30,144,80,16,139,.277,502,.380,.522,.902,11,9,80,2026-09-12
Kyle Tucker,RF,566,179,235,38,3.966,.124,.175,.023,109,1092,236,394,25,30,119,25,0,59,27,139,164,77,21,4,13,99,70,1,111,.228,487,.325,.368,.693,10,5,61,2026-09-12
Andy Pages,CF,550,226,210,48,4.051,.082,.195,.038,75,1061,233,391,32,43,107,29,1,63,41,128,150,72,25,2,21,107,45,1,134,.272,493,.338,.458,.796,12,11,80,2026-09-12
Max Muncy,3B,506,217,230,51,4.083,.125,.251,.053,68,926,271,312,22,24,87,35,0,46,30,135,114,74,23,1,27,127,63,4,111,.253,438,.352,.495,.847,2,6,70,2026-09-12
Mookie Betts,SS,464,181,202,38,3.616,.080,.112,.041,100,701,87,373,24,44,100,24,0,58,23,109,168,61,19,0,19,52,37,3,105,.248,424,.310,.427,.737,1,14,60,2026-09-12
Teoscar Hernández,LF,432,164,182,32,3.991,.086,.269,.030,62,817,262,276,18,15,77,20,0,41,43,111,95,57,17,2,13,116,37,2,104,.267,389,.333,.422,.755,4,12,58,2026-09-12
Tommy Edman,2B,275,97,98,19,3.673,.065,.207,.022,39,472,105,188,9,12,64,13,0,29,22,70,60,39,11,2,6,57,18,0,64,.263,243,.344,.399,.743,6,4,34,2026-09-12
Dalton Rushing,C,250,103,116,24,3.752,.092,.292,.048,28,462,148,149,13,16,37,13,0,31,11,78,57,37,12,0,12,73,23,0,55,.249,221,.332,.466,.798,0,2,36,2026-09-12
Alex Freeland,2B,247,65,97,11,4.101,.109,.287,.012,30,405,116,148,8,7,55,7,0,27,14,82,45,28,8,0,3,71,27,0,48,.224,214,.311,.304,.615,2,7,20,2026-09-12
Will Smith,C,233,76,90,14,4.197,.116,.163,.030,57,404,65,165,9,21,30,11,0,23,14,62,87,29,7,0,7,38,27,0,48,.241,199,.335,.382,.717,0,5,29,2026-09-12
Miguel Rojas,2B,222,78,92,18,3.518,.059,.108,.014,34,374,64,183,18,16,61,7,0,28,19,95,68,20,15,0,3,24,13,0,54,.273,198,.314,.394,.708,0,9,20,2026-09-12
Alex Call,LF,183,48,77,9,4.350,.120,.186,.005,25,337,58,120,13,7,38,3,1,17,16,80,45,24,8,0,1,34,22,0,37,.243,152,.361,.316,.677,1,2,19,2026-09-12
Hyeseong Kim,SS,131,38,52,5,3.931,.092,.237,.008,15,242,64,87,3,6,33,2,0,20,8,43,24,16,3,1,1,31,12,0,30,.259,116,.323,.328,.651,5,2,11,2026-09-12
Enrique Hernández,3B,70,26,35,6,3.657,.071,.329,.043,7,135,39,42,4,1,16,3,0,9,2,31,12,11,3,0,3,23,5,0,14,.215,65,.271,.400,.671,0,0,9,2026-09-12
Hunter Feduccia,C,66,18,27,3,4.015,.121,.197,.015,14,105,22,45,0,6,12,1,0,10,2,26,20,6,2,0,1,13,8,0,13,.228,57,.323,.316,.639,0,0,5,2026-09-12
Santiago Espinal,3B,60,21,27,4,3.733,.017,.133,.017,9,110,19,51,2,6,19,2,0,10,3,36,17,5,3,0,1,8,1,0,15,.268,56,.276,.375,.651,0,5,7,2026-09-12
Ryan Ward,LF,60,25,33,7,4.200,.083,.283,.050,7,134,37,38,3,3,13,3,0,7,2,20,13,8,4,0,3,17,5,0,12,.218,55,.283,.455,.738,0,2,12,2026-09-12
Eliezer Alfonzo,C,28,7,13,2,3.357,.000,.107,.000,6,51,7,25,1,3,10,1,0,3,1,13,10,3,2,0,0,3,0,0,5,.179,28,.179,.250,.429,0,0,4,2026-09-12
Ben Rortvedt,C,28,5,12,0,3.571,.000,.321,.000,5,46,11,19,1,2,6,0,0,5,0,16,8,0,0,0,0,9,0,0,5,.185,27,.185,.185,.370,0,0,1,2026-09-12
Chuckie Robinson,C,26,2,13,0,3.462,.000,.192,.000,3,51,15,21,5,1,10,0,0,1,1,8,9,1,0,0,0,5,0,0,2,.087,23,.087,.087,.174,0,0,1,2026-09-12
Alek Thomas,CF,20,5,11,1,3.100,.050,.200,.000,5,34,8,15,1,1,4,0,0,2,2,7,7,1,1,0,0,4,1,0,4,.211,19,.250,.263,.513,0,2,3,2026-09-12
Josue De Paula,DH,3,0,1,0,5.000,.333,.000,.000,1,6,1,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,.000,2,.333,.000,.333,0,0,0,2026-09-12
Jack Dreyer,P,0,0,0,0,-.--,.---,.---,.---,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,2026-09-12
Edgardo Henriquez,P,0,0,0,0,-.--,.---,.---,.---,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,2026-09-12
