rk,name,age,pos,g,pa,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ba,obp,slg,ops,ops_plus,roba,tb,gdp,hbp,sh,sf,ibb,pos.1,awards,season,bats
1,Will Smith,30,C,4,13,8,3,4,1,0,0,2,0,0,5,1,0.5,0.692,0.625,1.317,286.0,.566,5,0,0,0,0,0,/*2H,,2025,Right
8,Teoscar Hernández,32,RF,4,17,15,2,2,0,0,1,4,0,0,2,4,0.133,0.235,0.333,0.569,63.0,.257,5,0,0,0,0,0,*/9,,2025,Right
2,Freddie Freeman,35,1B,2,8,8,1,1,0,0,1,2,0,0,0,0,0.125,0.125,0.5,0.625,72.0,.258,4,0,0,0,0,0,/3,,2025,Left
12,Austin Barnes,35,C,1,3,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,.000,0,0,0,0,0,0,/2,,2025,Right
11,Kiké Hernández,33,1B,2,9,8,1,1,0,0,1,3,0,0,0,2,0.125,0.111,0.5,0.611,67.0,.230,4,0,0,0,1,0,/3,,2025,Right
9,Shohei Ohtani,30,DH,4,19,16,6,6,1,0,2,2,0,0,3,2,0.375,0.474,0.813,1.286,266.0,.522,13,0,0,0,0,1,/*D,,2025,Left
10,Miguel Rojas,36,MI,3,11,10,0,1,0,0,0,0,0,0,1,2,0.1,0.182,0.1,0.282,-16.0,.136,1,2,0,0,0,0,/64,,2025,Right
7,Andy Pages,24,CF,4,15,11,1,2,1,0,0,0,0,0,3,6,0.182,0.4,0.273,0.673,100.0,.332,3,0,1,0,0,0,*/87,,2025,Right
6,Michael Conforto,32,LF,3,12,11,1,3,2,0,0,1,0,0,1,3,0.273,0.333,0.455,0.788,126.0,.344,5,0,0,0,0,0,*/7,,2025,Left
5,Max Muncy,34,3B,4,16,14,1,1,1,0,0,0,0,0,2,8,0.071,0.188,0.143,0.33,-2.0,.166,2,0,0,0,0,0,/*5,,2025,Left
4,Mookie Betts,32,SS,2,9,8,4,4,0,0,2,4,0,0,1,0,0.5,0.556,1.25,1.806,407.0,.726,10,1,0,0,0,0,/6,,2025,Right
3,Tommy Edman,30,2B,4,18,18,3,4,0,0,2,3,0,0,0,4,0.222,0.222,0.556,0.778,117.0,.330,10,1,0,0,0,0,/*48,,2025,Both
22,Jake Marisnick,32,CF,4,6,5,0,2,0,0,0,0,0,1,0,0,0.4,0.5,0.4,0.9,149.0,,2,0,1,0,0,0,,,2023,Right
17,Jonny DeLuca,24,OF,24,45,42,5,11,1,0,2,6,1,0,3,8,0.262,0.311,0.429,0.74,97.0,,18,0,0,0,0,0,,,2023,Right
18,Kolten Wong,32,2B,20,34,30,4,9,0,0,2,8,2,1,2,7,0.3,0.353,0.5,0.853,127.0,,15,1,1,0,1,0,,,2023,Left
19,Yonny Hernández,25,IF,14,27,22,5,3,1,0,0,4,0,0,2,8,0.136,0.231,0.182,0.413,14.0,,4,0,1,1,1,0,,,2023,Both
20,Austin Wynns,32,C,5,12,11,0,2,1,0,0,2,0,0,1,5,0.182,0.25,0.273,0.523,42.0,,3,0,0,0,0,0,,,2023,Right
21,Luke Williams,26,SS,4,10,10,0,1,0,0,0,0,1,0,0,3,0.1,0.1,0.1,0.2,-46.0,,1,0,0,0,0,0,,,2023,Right
27,Jake Reed,30,P,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,2023,Right
23,Shelby Miller,32,P,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,,0,0,0,0,0,0,,,2023,Right
24,Michael Grove,26,P,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,2023,Right
25,Dustin May,25,P,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,2023,Right
26,Noah Syndergaard,30,P,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,2023,Left
15,Trayce Thompson,32,OF,36,87,71,12,11,0,0,5,14,0,0,15,37,0.155,0.31,0.366,0.677,82.0,,26,0,1,0,0,0,,,2023,Right
16,Michael Busch,25,IF,27,81,72,9,12,3,0,2,7,1,0,8,27,0.167,0.247,0.292,0.539,45.0,,21,0,0,0,1,0,,,2023,Left
10,Chris Taylor,32,UT,117,384,338,51,80,15,1,15,56,16,3,41,125,0.237,0.326,0.42,0.746,100.0,,142,2,4,0,1,2,,,2023,Right
14,Amed Rosario,27,2B,48,133,125,19,32,6,2,3,18,6,2,7,22,0.256,0.301,0.408,0.709,89.0,,51,4,1,0,0,0,,,2023,Right
13,Enrique Hernández,31,UT,54,185,168,19,44,12,0,5,30,1,0,12,29,0.262,0.308,0.423,0.731,95.0,,71,6,1,0,4,1,,,2023,Right
12,Austin Barnes,33,C,59,200,178,15,32,5,0,2,11,2,1,17,43,0.18,0.256,0.242,0.498,36.0,,43,7,2,1,2,0,,,2023,Right
11,Jason Heyward,33,RF,124,377,334,56,90,23,0,15,40,2,2,34,64,0.269,0.34,0.473,0.813,117.0,,158,7,3,0,3,1,,,2023,Left
29,Dylan Covey,31,P,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,2023,Right
9,J.D. Martinez,35,DH,113,479,432,61,117,27,2,33,103,1,0,34,149,0.271,0.321,0.572,0.893,134.0,,247,11,2,0,9,1,,,2023,Right
8,Mookie Betts,30,RF,152,693,584,126,179,40,1,39,107,14,3,96,107,0.307,0.408,0.579,0.987,163.0,,338,5,8,0,5,3,,,2023,Right
7,James Outman,26,CF,151,567,483,86,120,16,3,23,70,16,3,68,181,0.248,0.353,0.437,0.79,112.0,,211,4,12,0,4,1,,,2023,Left
6,David Peralta,35,LF,133,422,394,47,102,25,1,7,55,4,1,20,72,0.259,0.294,0.381,0.675,81.0,,150,8,2,0,6,1,,,2023,Left
5,Max Muncy,32,3B,135,579,482,95,102,17,1,36,105,1,2,85,153,0.212,0.333,0.475,0.808,115.0,,229,8,6,0,6,4,,,2023,Left
4,Miguel Rojas,34,SS,124,423,385,49,91,16,1,5,31,8,3,26,48,0.236,0.29,0.322,0.612,66.0,,124,12,5,2,5,0,,,2023,Right
3,Miguel Vargas,23,2B,81,304,256,36,50,15,4,7,32,3,2,38,61,0.195,0.305,0.367,0.672,81.0,,94,1,4,1,4,1,,,2023,Right
2,Freddie Freeman,33,1B,161,730,637,131,211,59,2,29,102,23,1,72,121,0.331,0.41,0.567,0.976,161.0,,361,14,16,0,5,12,,,2023,Left
28,Julio Urías,26,P,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,2023,Left
35,Phil Bickford,27,P,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,2023,Right
30,Gavin Stone,24,P,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,2023,Right
31,Gus Varland,26,P,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,2023,Left
57,Andre Jackson,27,P,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,2023,Right
56,Tony Gonsolin,29,P,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,2023,Right
55,Emmet Sheehan,23,P,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,2023,Right
